ORGANISM_ID|ORGANISM_NAME|ORGANISM_LEVEL|PARENT_ID|PARENT_NAME
1849|Aspergillus creber|3|2|Trichocomaceae
1852|Aspergillus cretensis|3|2|Trichocomaceae
1854|Aspergillus cristatus|3|2|Trichocomaceae
1855|Aspergillus crustosus|3|2|Trichocomaceae
1859|Aspergillus cvjetkovicii|3|2|Trichocomaceae
1861|Aspergillus deflectus|3|2|Trichocomaceae
1863|Aspergillus delacroxii|3|2|Trichocomaceae
1870|Aspergillus desertorum|3|2|Trichocomaceae
1873|Aspergillus dimorphicus|3|2|Trichocomaceae
1880|Aspergillus duricaulis|3|2|Trichocomaceae
1882|Aspergillus eburneocremeus|3|2|Trichocomaceae
1885|Aspergillus echinulatus|3|2|Trichocomaceae
1887|Aspergillus effusus|3|2|Trichocomaceae
1890|Aspergillus elegans|3|2|Trichocomaceae
1895|Aspergillus erythrocephalus|3|2|Trichocomaceae
1896|Aspergillus eucalypticola|3|2|Trichocomaceae
1897|Aspergillus falconensis|3|2|Trichocomaceae
1899|Aspergillus felis|3|2|Trichocomaceae
1548|Aspergillus fennelliae|3|2|Trichocomaceae
1446|Aspergillus fischeri|3|2|Trichocomaceae
1400|Aspergillus flavipes|3|2|Trichocomaceae
1915|Aspergillus flavofurcatus|3|2|Trichocomaceae
19|Aspergillus flavus|3|2|Trichocomaceae
1918|Aspergillus floccosus|3|2|Trichocomaceae
1917|Aspergillus flocculosus|3|2|Trichocomaceae
1921|Aspergillus foeniculicola|3|2|Trichocomaceae
1922|Aspergillus foetidus|3|2|Trichocomaceae
130|Aspergillus fonsecaeus|3|2|Trichocomaceae
1925|Aspergillus fresenii|3|2|Trichocomaceae
1933|Aspergillus fumigatiaffinis|3|2|Trichocomaceae
152|Aspergillus fumigatus|3|2|Trichocomaceae
1935|Aspergillus fumisynnematus|3|2|Trichocomaceae
1468|Aspergillus funiculosus|3|2|Trichocomaceae
1575|Aspergillus giganteus|3|2|Trichocomaceae
1691|Aspergillus glaucus|3|2|Trichocomaceae
1946|Aspergillus globosus|3|2|Trichocomaceae
1948|Aspergillus gorakhpurensis|3|2|Trichocomaceae
1955|Aspergillus griseoaurantiacus|3|2|Trichocomaceae
1959|Aspergillus haitiensis|3|2|Trichocomaceae
1966|Aspergillus heteromorphus|3|2|Trichocomaceae
1968|Aspergillus heyangensis|3|2|Trichocomaceae
1971|Aspergillus homomorphus|3|2|Trichocomaceae
1972|Aspergillus hortae|3|2|Trichocomaceae
1973|Aspergillus humicola|3|2|Trichocomaceae
1975|Aspergillus ibericus|3|2|Trichocomaceae
1977|Aspergillus iizukae|3|2|Trichocomaceae
1978|Aspergillus implicatus|3|2|Trichocomaceae
1982|Aspergillus indologenus|3|2|Trichocomaceae
320|Aspergillus insuetus|3|2|Trichocomaceae
1699|Aspergillus insulicola|3|2|Trichocomaceae
1527|Aspergillus janus|3|2|Trichocomaceae
1356|Aspergillus japonicus|3|2|Trichocomaceae
1993|Aspergillus jensenii|3|2|Trichocomaceae
1995|Aspergillus kanagawaensis|3|2|Trichocomaceae
1678|Aspergillus karnatakaensis|3|2|Trichocomaceae
1998|Aspergillus keveii|3|2|Trichocomaceae
2340|Aspergillus kumbius|3|2|Trichocomaceae
2001|Aspergillus laciniosus|3|2|Trichocomaceae
2002|Aspergillus lacticoffeatus|3|2|Trichocomaceae
2004|Aspergillus lanosus|3|2|Trichocomaceae
2007|Aspergillus lentulus|3|2|Trichocomaceae
2009|Aspergillus leporis|3|2|Trichocomaceae
2012|Aspergillus longivesica|3|2|Trichocomaceae
